Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
179359942,Brownsville Neighborhood Health Action Center,Free Safer Sex Products,Condoms and Lubricant,,Government,Government Agency,259 Bristol Street,,Brooklyn,11212,40.664819375149,-73.911414575691,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located at reception at this government agency. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,"""http://www1.nyc.gov/site/doh/health/neighborhood-health/neighborhood-health-action-centers.page""",316,41,92400,3081765,3035590011,BK81
179359880,Bar 13,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,35 East 13 Street,,Manhattan,10003,40.734449766582,-73.9920652807,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the 3rd fl. at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,true,false,false,,,102,2,6100,1009214,1005650005,MN23
179359994,Country Barber & Beauty Salon,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,9126 Avenue L,,Brooklyn,11236,40.635972823532,-73.899451465182,(347) 673-5320,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,318,46,100800,3232573,3082560047,BK50
179360186,J&M Barber shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,215 East 167 Street,,Bronx,10456,40.833924911294,-73.916114090484,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/fishbowl located in the back near the restroom at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom,19000101000000.000000000,19000101000000.000000000,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,9:00 AM - 4:00 PM,true,false,false,,,204,16,17901,2002688,2024530024,BX14
179360473,The Pharmacy Llc,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,2541 Adam Clayton Powell Jr Boulevard,,Manhattan,0,0,0,(212) 491-7900,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,1,
179360112,Fulton Ale House,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1446 Fulton Street,,Brooklyn,11216,40.68000694417,-73.942732241742,(917) 613-7389,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,303,36,27100,3053801,3018630019,BK61
179360141,Harlem Hospital WIC,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Other,"506 Lenox Avenue,""Ron Brown Building, Room 1061""",,Manhattan,10037,40.814350988218,-73.940658121806,212-939-2730,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a clear plastic bowl located wic receptionist counter top at this location.Last Updated: 4/27/2022 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.fac,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,"""https://www.nychealthandhospitals.org/harlem/?nycGovRedirect""",110,9,21200,1053899,1017330001,MN03
179360214,Kike Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,91-19 37 Avenue,,Queens,11372,40.750656398894,-73.875687870305,212-505-9408,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located near th front door by the coat rack at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Fac,19000101000000.000000000,19000101000000.000000000,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 9:00 PM,true,false,false,,,403,25,27500,4036040,4014650037,QN28
179359884,Barbershop Shave & Cut,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,119 Christopher Street,,Manhattan,10014,40.733192802836,-74.00558559021,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the front at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,false,false,,,102,3,7300,1011150,1006190045,MN23
179360498,Urban Health Plan-Plaza del Sol Family Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"37-16 108 Street,n/a",,Queens,11368,40.753608489918,-73.860266692233,(718) 651-4000,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located at the reception counter at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,"""https://www.urbanhealthplan.org/""",403,21,40300,4437230,4017730010,QN26
179359988,Community Health Action of Staten Island- Prevention,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"26 Bay Street,2nd Floor- Prevention",,Staten Island,10301,40.641379781734,-74.075953515928,718-808-1325,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a bowl located on our floor at this social service. Last Updated: 5/3/2022 <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Face,19000101000000.000000000,19000101000000.000000000,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,true,true,true,,"""http://www.chasiny.org""",501,49,300,5000031,5000050087,SI22
179360164,Hispanic AIDS Forum - Manhattan,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"1767 Park Avenue,5th Floor",,Manhattan,10035,40.803382760643,-73.940230875789,212-677-7999,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the reception area at this community center. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook com,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,false,true,,,111,9,19600,1087850,1017710003,MN34
179360106,Four Stars Barbershop,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,390 Utica Avenue,,Brooklyn,11213,40.66495939658,-73.931491780351,(718) 756-5330,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,309,35,35500,3038278,3014190039,BK63
179359968,Chelsea Garden Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,253 West 23 Street,,Manhattan,10011,40.744720909069,-73.997120106439,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the back seating area at this barbershop. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook commun,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,104,3,9100,1076138,1007730012,MN13
179360225,LA MAGIA BARBERSHOP,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,3369 FULTON AVENUE,,Brooklyn,0,0,0,(347) 369-9365,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,3,
179360238,Lenox Pharmacy,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,27 Lenox Ave,,Manhattan,10026,40.799106396699,-73.951810708428,(212) 678-9722,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,110,9,21600,1054959,1018210031,MN11
179360530,Zt Mobile,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,259 Utica Avenue,,Brooklyn,11213,40.669619754856,-73.931032768879,(718) 676-6205,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,308,41,34900,3037349,3013910010,BK61
179360504,Vibe 212,Free Safer Sex Products,Condoms and Lubricant,,Business,Sex Store,212 8 Avenue,,Manhattan,10011,40.743856344065,-73.999509197466,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located inside at this sex store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,true,,,104,3,8700,1014058,1007700075,MN13
179360307,New App Car And Limo,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,908 Amsterdam Avenue,,Manhattan,10025,40.799419021962,-73.966460211402,(212) 222-7999,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,107,7,19100,1056593,1018760033,MN12
179360289,Moe Sports,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1641 Broadway,,Brooklyn,11207,40.68488837114,-73.913944211101,(718) 443-5102,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,304,37,40100,3078951,3034140002,BK78
179360267,Marquee,Free Safer Sex Products,Condoms and Lubricant,,Business,Night Club,289 10 Avenue,,Manhattan,10001,40.749919495144,-74.002551684523,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located inside at this night club. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,104,3,9900,1012393,1006980037,MN13
179360172,Huggies Brownstone Inn Club,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1550 Fulton Street,,Brooklyn,11216,40.679801890354,-73.938972024595,(347) 932-4361,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,303,36,27100,3053856,3018640031,BK61
179360085,EZ Pawn (95),Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,95-54 Roosevelt Ave.,,Queens,11372,40.749077426842,-73.870071412809,(718) 565-8600,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,404,21,46500,4039787,4015940026,QN29
179359903,BIG BROTHER BARBERSHOP,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,3420 BROADWAY,,Manhattan,10031,40.822725480131,-73.953137624922,(347) 260-9448,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,true,true,true,,,109,7,22500,1061726,1020710001,MN04
179360088,Fairytail Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,500 West 48 Street,,Manhattan,10036,40.763461941022,-73.992816281951,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located at reception at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,104,3,12900,1026998,1010760036,MN15
179359970,Chiquito Liquor Store,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,100-24 Northern Blvd,,Queens,11368,40.757356189145,-73.868152953152,(929) 462-0170,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,403,21,37700,4441117,4017150010,QN26
179359866,Angela Beauty Lounge,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Other,412 E. 167th Street,,Bronx,10456,40.830544228917,-73.909968083343,(718) 537-7738,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,203,16,14300,2001627,2023920025,BX14
